cve_mun,anio,municipio.x,feminicidios,municipio.y,tasa_fem_100k,pib_pc,log_pib_pc
21013,2019,21013,0,21013,NA,NA,NA
21013,2020,21013,0,21013,NA,NA,NA
21013,2021,21013,0,21013,NA,NA,NA
21013,2022,21013,0,21013,NA,NA,NA
21013,2023,21013,0,21013,NA,NA,NA
21013,2024,21013,0,21013,NA,NA,NA
21013,2025,21013,0,21013,NA,NA,NA
21014,2015,21014,0,21014,NA,NA,NA
21014,2016,21014,0,21014,NA,NA,NA
21014,2017,21014,0,21014,NA,NA,NA
21014,2018,21014,0,21014,NA,NA,NA
21014,2019,21014,0,21014,NA,NA,NA
21014,2020,21014,0,21014,NA,NA,NA
21014,2021,21014,0,21014,NA,NA,NA
21014,2022,21014,0,21014,NA,NA,NA
21014,2023,21014,1,21014,NA,NA,NA
21014,2024,21014,0,21014,NA,NA,NA
21014,2025,21014,0,21014,NA,NA,NA
21015,2015,21015,0,21015,NA,NA,NA
21015,2016,21015,0,21015,NA,NA,NA
21015,2017,21015,1,21015,NA,NA,NA
21015,2018,21015,1,21015,NA,NA,NA
21015,2019,21015,1,21015,NA,NA,NA
21015,2020,21015,0,21015,NA,NA,NA
21015,2021,21015,1,21015,NA,NA,NA
21015,2022,21015,0,21015,NA,NA,NA
21015,2023,21015,0,21015,NA,NA,NA
21015,2024,21015,0,21015,NA,NA,NA
21015,2025,21015,0,21015,NA,NA,NA
21016,2015,21016,0,21016,NA,NA,NA
21016,2016,21016,0,21016,NA,NA,NA
21016,2017,21016,0,21016,NA,NA,NA
21016,2018,21016,0,21016,NA,NA,NA
21016,2019,21016,0,21016,NA,NA,NA
21016,2020,21016,0,21016,NA,NA,NA
21016,2021,21016,0,21016,NA,NA,NA
21016,2022,21016,0,21016,NA,NA,NA
21016,2023,21016,0,21016,NA,NA,NA
21016,2024,21016,0,21016,NA,NA,NA
21016,2025,21016,0,21016,NA,NA,NA
21017,2015,21017,0,21017,NA,NA,NA
21017,2016,21017,0,21017,NA,NA,NA
21017,2017,21017,0,21017,NA,NA,NA
21017,2018,21017,0,21017,NA,NA,NA
21017,2019,21017,0,21017,NA,NA,NA
21017,2020,21017,1,21017,NA,NA,NA
21017,2021,21017,0,21017,NA,NA,NA
21017,2022,21017,0,21017,NA,NA,NA
21017,2023,21017,0,21017,NA,NA,NA
21017,2024,21017,0,21017,NA,NA,NA
21017,2025,21017,0,21017,NA,NA,NA
21018,2015,21018,0,21018,NA,NA,NA
21018,2016,21018,0,21018,NA,NA,NA
21018,2017,21018,0,21018,NA,NA,NA
21018,2018,21018,0,21018,NA,NA,NA
21018,2019,21018,0,21018,NA,NA,NA
21018,2020,21018,0,21018,NA,NA,NA
21018,2021,21018,0,21018,NA,NA,NA
21018,2022,21018,0,21018,NA,NA,NA
21018,2023,21018,0,21018,NA,NA,NA
21018,2024,21018,0,21018,NA,NA,NA
21018,2025,21018,0,21018,NA,NA,NA
21019,2015,21019,1,21019,NA,NA,NA
21019,2016,21019,0,21019,NA,NA,NA
21019,2017,21019,2,21019,NA,NA,NA
21019,2018,21019,0,21019,NA,NA,NA
21019,2019,21019,1,21019,NA,NA,NA
21019,2020,21019,2,21019,NA,NA,NA
21019,2021,21019,2,21019,NA,NA,NA
