municipio,cve_mun,anio,feminicidios,estado
21019,21019,2015,1,Puebla
21019,21019,2016,0,Puebla
21019,21019,2017,2,Puebla
21019,21019,2018,0,Puebla
21019,21019,2019,1,Puebla
21019,21019,2020,2,Puebla
21019,21019,2021,2,Puebla
21019,21019,2022,1,Puebla
21019,21019,2023,0,Puebla
21019,21019,2024,2,Puebla
21019,21019,2025,1,Puebla
21020,21020,2015,0,Puebla
21020,21020,2016,0,Puebla
21020,21020,2017,0,Puebla
21020,21020,2018,0,Puebla
21020,21020,2019,0,Puebla
21020,21020,2020,0,Puebla
21020,21020,2021,0,Puebla
21020,21020,2022,0,Puebla
21020,21020,2023,0,Puebla
21020,21020,2024,0,Puebla
21020,21020,2025,0,Puebla
21021,21021,2015,0,Puebla
21021,21021,2016,0,Puebla
21021,21021,2017,0,Puebla
21021,21021,2018,0,Puebla
21021,21021,2019,0,Puebla
21021,21021,2020,0,Puebla
21021,21021,2021,0,Puebla
21021,21021,2022,0,Puebla
21021,21021,2023,0,Puebla
21021,21021,2024,0,Puebla
21021,21021,2025,0,Puebla
21022,21022,2015,0,Puebla
21022,21022,2016,0,Puebla
21022,21022,2017,0,Puebla
21022,21022,2018,0,Puebla
21022,21022,2019,0,Puebla
21022,21022,2020,0,Puebla
21022,21022,2021,0,Puebla
21022,21022,2022,0,Puebla
21022,21022,2023,0,Puebla
21022,21022,2024,0,Puebla
21022,21022,2025,0,Puebla
21023,21023,2015,0,Puebla
21023,21023,2016,0,Puebla
21023,21023,2017,0,Puebla
21023,21023,2018,0,Puebla
21023,21023,2019,0,Puebla
21023,21023,2020,0,Puebla
21023,21023,2021,0,Puebla
21023,21023,2022,0,Puebla
21023,21023,2023,0,Puebla
21023,21023,2024,0,Puebla
21023,21023,2025,0,Puebla
21024,21024,2015,0,Puebla
21024,21024,2016,0,Puebla
21024,21024,2017,0,Puebla
21024,21024,2018,0,Puebla
21024,21024,2019,0,Puebla
21024,21024,2020,0,Puebla
21024,21024,2021,0,Puebla
21024,21024,2022,0,Puebla
21024,21024,2023,0,Puebla
21024,21024,2024,0,Puebla
21024,21024,2025,0,Puebla
21025,21025,2015,0,Puebla
21025,21025,2016,0,Puebla
21025,21025,2017,0,Puebla
21025,21025,2018,0,Puebla
21025,21025,2019,0,Puebla
21025,21025,2020,0,Puebla
21025,21025,2021,0,Puebla
21025,21025,2022,0,Puebla
21025,21025,2023,0,Puebla
21025,21025,2024,0,Puebla
21025,21025,2025,0,Puebla
21026,21026,2015,0,Puebla
21026,21026,2016,1,Puebla
21026,21026,2017,0,Puebla
21026,21026,2018,0,Puebla
21026,21026,2019,0,Puebla
21026,21026,2020,0,Puebla
21026,21026,2021,0,Puebla
21026,21026,2022,0,Puebla
21026,21026,2023,0,Puebla
21026,21026,2024,0,Puebla
21026,21026,2025,0,Puebla
21027,21027,2015,0,Puebla
21027,21027,2016,0,Puebla
21027,21027,2017,0,Puebla
21027,21027,2018,0,Puebla
21027,21027,2019,0,Puebla
21027,21027,2020,0,Puebla
21027,21027,2021,0,Puebla
21027,21027,2022,0,Puebla
21027,21027,2023,0,Puebla
21027,21027,2024,0,Puebla
21027,21027,2025,0,Puebla
21028,21028,2015,0,Puebla
21028,21028,2016,0,Puebla
21028,21028,2017,0,Puebla
21028,21028,2018,0,Puebla
21028,21028,2019,0,Puebla
21028,21028,2020,0,Puebla
21028,21028,2021,0,Puebla
21028,21028,2022,0,Puebla
21028,21028,2023,0,Puebla
21028,21028,2024,0,Puebla
21028,21028,2025,0,Puebla
21029,21029,2015,0,Puebla
21029,21029,2016,0,Puebla
21029,21029,2017,0,Puebla
21029,21029,2018,0,Puebla
21029,21029,2019,0,Puebla
21029,21029,2020,0,Puebla
21029,21029,2021,0,Puebla
21029,21029,2022,0,Puebla
21029,21029,2023,0,Puebla
21029,21029,2024,0,Puebla
21029,21029,2025,0,Puebla
21030,21030,2015,0,Puebla
21030,21030,2016,0,Puebla
21030,21030,2017,0,Puebla
21030,21030,2018,0,Puebla
21030,21030,2019,0,Puebla
21030,21030,2020,0,Puebla
21030,21030,2021,0,Puebla
21030,21030,2022,0,Puebla
21030,21030,2023,0,Puebla
21030,21030,2024,0,Puebla
21030,21030,2025,0,Puebla
21031,21031,2015,0,Puebla
21031,21031,2016,0,Puebla
21031,21031,2017,0,Puebla
21031,21031,2018,0,Puebla
21031,21031,2019,0,Puebla
21031,21031,2020,0,Puebla
21031,21031,2021,0,Puebla
21031,21031,2022,0,Puebla
21031,21031,2023,0,Puebla
21031,21031,2024,0,Puebla
21031,21031,2025,0,Puebla
21032,21032,2015,0,Puebla
21032,21032,2016,0,Puebla
21032,21032,2017,0,Puebla
21032,21032,2018,0,Puebla
21032,21032,2019,0,Puebla
21032,21032,2020,0,Puebla
21032,21032,2021,0,Puebla
21032,21032,2022,0,Puebla
21032,21032,2023,0,Puebla
21032,21032,2024,0,Puebla
21032,21032,2025,0,Puebla
21033,21033,2015,0,Puebla
21033,21033,2016,0,Puebla
21033,21033,2017,0,Puebla
21033,21033,2018,0,Puebla
21033,21033,2019,0,Puebla
21033,21033,2020,0,Puebla
21033,21033,2021,0,Puebla
21033,21033,2022,0,Puebla
21033,21033,2023,0,Puebla
21033,21033,2024,0,Puebla
21033,21033,2025,0,Puebla
21034,21034,2015,0,Puebla
21034,21034,2016,0,Puebla
21034,21034,2017,1,Puebla
21034,21034,2018,0,Puebla
21034,21034,2019,0,Puebla
21034,21034,2020,3,Puebla
21034,21034,2021,0,Puebla
21034,21034,2022,0,Puebla
21034,21034,2023,0,Puebla
21034,21034,2024,1,Puebla
21034,21034,2025,0,Puebla
21035,21035,2015,0,Puebla
21035,21035,2016,0,Puebla
21035,21035,2017,0,Puebla
21035,21035,2018,0,Puebla
21035,21035,2019,0,Puebla
21035,21035,2020,0,Puebla
21035,21035,2021,0,Puebla
21035,21035,2022,0,Puebla
21035,21035,2023,0,Puebla
21035,21035,2024,0,Puebla
21035,21035,2025,0,Puebla
21036,21036,2015,0,Puebla
21036,21036,2016,0,Puebla
21036,21036,2017,0,Puebla
21036,21036,2018,1,Puebla
21036,21036,2019,0,Puebla
21036,21036,2020,0,Puebla
21036,21036,2021,0,Puebla
21036,21036,2022,0,Puebla
21036,21036,2023,0,Puebla
21036,21036,2024,0,Puebla
21036,21036,2025,0,Puebla
21037,21037,2015,0,Puebla
21037,21037,2016,0,Puebla
21037,21037,2017,0,Puebla
21037,21037,2018,0,Puebla
21037,21037,2019,0,Puebla
21037,21037,2020,0,Puebla
21037,21037,2021,0,Puebla
21037,21037,2022,0,Puebla
21037,21037,2023,0,Puebla
21037,21037,2024,0,Puebla
21037,21037,2025,0,Puebla
21038,21038,2015,0,Puebla
21038,21038,2016,0,Puebla
21038,21038,2017,0,Puebla
21038,21038,2018,0,Puebla
21038,21038,2019,0,Puebla
21038,21038,2020,0,Puebla
21038,21038,2021,0,Puebla
21038,21038,2022,0,Puebla
21038,21038,2023,0,Puebla
21038,21038,2024,0,Puebla
21038,21038,2025,0,Puebla
21039,21039,2015,0,Puebla
21039,21039,2016,0,Puebla
21039,21039,2017,0,Puebla
21039,21039,2018,0,Puebla
21039,21039,2019,0,Puebla
21039,21039,2020,0,Puebla
21039,21039,2021,2,Puebla
21039,21039,2022,0,Puebla
21039,21039,2023,0,Puebla
21039,21039,2024,0,Puebla
21039,21039,2025,0,Puebla
21040,21040,2015,0,Puebla
21040,21040,2016,0,Puebla
21040,21040,2017,0,Puebla
21040,21040,2018,0,Puebla
21040,21040,2019,0,Puebla
21040,21040,2020,0,Puebla
21040,21040,2021,0,Puebla
21040,21040,2022,0,Puebla
21040,21040,2023,0,Puebla
21040,21040,2024,0,Puebla
21040,21040,2025,0,Puebla
21041,21041,2015,0,Puebla
21041,21041,2016,0,Puebla
21041,21041,2017,0,Puebla
21041,21041,2018,1,Puebla
21041,21041,2019,1,Puebla
21041,21041,2020,2,Puebla
21041,21041,2021,0,Puebla
21041,21041,2022,0,Puebla
21041,21041,2023,1,Puebla
21041,21041,2024,1,Puebla
21041,21041,2025,1,Puebla
21042,21042,2015,0,Puebla
21042,21042,2016,0,Puebla
21042,21042,2017,0,Puebla
21042,21042,2018,0,Puebla
21042,21042,2019,0,Puebla
21042,21042,2020,0,Puebla
21042,21042,2021,0,Puebla
21042,21042,2022,0,Puebla
21042,21042,2023,0,Puebla
21042,21042,2024,0,Puebla
21042,21042,2025,0,Puebla
21043,21043,2015,0,Puebla
21043,21043,2016,0,Puebla
21043,21043,2017,0,Puebla
21043,21043,2018,0,Puebla
21043,21043,2019,0,Puebla
21043,21043,2020,0,Puebla
21043,21043,2021,0,Puebla
21043,21043,2022,0,Puebla
21043,21043,2023,1,Puebla
21043,21043,2024,2,Puebla
21043,21043,2025,0,Puebla
21044,21044,2015,0,Puebla
21044,21044,2016,0,Puebla
21044,21044,2017,0,Puebla
21044,21044,2018,0,Puebla
21044,21044,2019,1,Puebla
21044,21044,2020,0,Puebla
21044,21044,2021,0,Puebla
21044,21044,2022,0,Puebla
21044,21044,2023,0,Puebla
21044,21044,2024,0,Puebla
21044,21044,2025,0,Puebla
21045,21045,2015,0,Puebla
21045,21045,2016,0,Puebla
21045,21045,2017,0,Puebla
21045,21045,2018,0,Puebla
21045,21045,2019,1,Puebla
21045,21045,2020,0,Puebla
21045,21045,2021,0,Puebla
21045,21045,2022,0,Puebla
21045,21045,2023,0,Puebla
21045,21045,2024,0,Puebla
21045,21045,2025,0,Puebla
21046,21046,2015,0,Puebla
21046,21046,2016,0,Puebla
21046,21046,2017,0,Puebla
21046,21046,2018,0,Puebla
21046,21046,2019,0,Puebla
21046,21046,2020,0,Puebla
21046,21046,2021,0,Puebla
21046,21046,2022,0,Puebla
21046,21046,2023,0,Puebla
21046,21046,2024,0,Puebla
21046,21046,2025,0,Puebla
21047,21047,2015,0,Puebla
21047,21047,2016,0,Puebla
21047,21047,2017,0,Puebla
21047,21047,2018,0,Puebla
21047,21047,2019,0,Puebla
21047,21047,2020,0,Puebla
21047,21047,2021,0,Puebla
21047,21047,2022,1,Puebla
21047,21047,2023,1,Puebla
21047,21047,2024,0,Puebla
21047,21047,2025,0,Puebla
21048,21048,2015,0,Puebla
21048,21048,2016,0,Puebla
21048,21048,2017,0,Puebla
21048,21048,2018,0,Puebla
21048,21048,2019,0,Puebla
21048,21048,2020,0,Puebla
21048,21048,2021,0,Puebla
21048,21048,2022,0,Puebla
21048,21048,2023,0,Puebla
21048,21048,2024,0,Puebla
21048,21048,2025,0,Puebla
21049,21049,2015,0,Puebla
21049,21049,2016,0,Puebla
21049,21049,2017,0,Puebla
21049,21049,2018,0,Puebla
21049,21049,2019,0,Puebla
21049,21049,2020,0,Puebla
21049,21049,2021,1,Puebla
21049,21049,2022,0,Puebla
21049,21049,2023,0,Puebla
21049,21049,2024,0,Puebla
21049,21049,2025,0,Puebla
21050,21050,2015,0,Puebla
21050,21050,2016,0,Puebla
21050,21050,2017,0,Puebla
21050,21050,2018,0,Puebla
21050,21050,2019,0,Puebla
21050,21050,2020,0,Puebla
21050,21050,2021,0,Puebla
21050,21050,2022,1,Puebla
21050,21050,2023,0,Puebla
21050,21050,2024,0,Puebla
21050,21050,2025,0,Puebla
21051,21051,2015,0,Puebla
21051,21051,2016,0,Puebla
21051,21051,2017,1,Puebla
21051,21051,2018,0,Puebla
21051,21051,2019,0,Puebla
21051,21051,2020,4,Puebla
21051,21051,2021,0,Puebla
