municipio_texto,cve_mun,fem_total
21114,21114,86
21156,21156,13
21019,21019,12
21132,21132,10
21208,21208,10
21197,21197,9
21041,21041,7
21154,21154,7
21001,21001,6
21051,21051,6
21074,21074,6
21164,21164,6
21003,21003,5
21004,21004,5
21034,21034,5
21085,21085,5
21119,21119,5
21140,21140,5
21015,21015,4
21053,21053,4
