municipio,cve_mun,estado,anio,feminicidios,tasa_fem_100k,municipio_texto,mun_id_nombre,pobfem_2020,pobtot_2020
Ahuacatlã¡N,21006,Puebla,2024,0,0,Ahuacatlã¡N,21006 – Ahuacatlã¡N,15380,29084
Ahuacatlã¡N,21006,Puebla,2025,0,0,Ahuacatlã¡N,21006 – Ahuacatlã¡N,15380,29084
Ahuatlã¡N,21007,Puebla,2015,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2016,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2017,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2018,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2019,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2020,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2021,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2022,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2023,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2024,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuatlã¡N,21007,Puebla,2025,0,0,Ahuatlã¡N,21007 – Ahuatlã¡N,3204,6338
Ahuazotepec,21008,Puebla,2015,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2016,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2017,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2018,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2019,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2020,1,8.488964346349745,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2021,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2022,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2023,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2024,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuazotepec,21008,Puebla,2025,0,0,Ahuazotepec,21008 – Ahuazotepec,11780,22878
Ahuehuetitla,21009,Puebla,2015,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2016,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2017,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2018,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2019,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2020,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2021,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2022,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2023,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2024,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ahuehuetitla,21009,Puebla,2025,0,0,Ahuehuetitla,21009 – Ahuehuetitla,2301,4431
Ajalpan,21010,Puebla,2015,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2016,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2017,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2018,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2019,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2020,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2021,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2022,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2023,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2024,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Ajalpan,21010,Puebla,2025,0,0,Ajalpan,21010 – Ajalpan,77146,149565
Albino Zertuche,21011,Puebla,2015,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2016,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2017,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2018,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2019,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2020,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2021,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2022,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2023,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2024,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Albino Zertuche,21011,Puebla,2025,0,0,Albino Zertuche,21011 – Albino Zertuche,1998,3770
Aljojuca,21012,Puebla,2015,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2016,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2017,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2018,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2019,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2020,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2021,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2022,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2023,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2024,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Aljojuca,21012,Puebla,2025,0,0,Aljojuca,21012 – Aljojuca,6982,13182
Altepexi,21013,Puebla,2015,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2016,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2017,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2018,1,4.258943781942079,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2019,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2020,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2021,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2022,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2023,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2024,0,0,Altepexi,21013 – Altepexi,23480,45258
Altepexi,21013,Puebla,2025,0,0,Altepexi,21013 – Altepexi,23480,45258
Amixtlã¡N,21014,Puebla,2015,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2016,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2017,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2018,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2019,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2020,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2021,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2022,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2023,1,19.673421207948063,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2024,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amixtlã¡N,21014,Puebla,2025,0,0,Amixtlã¡N,21014 – Amixtlã¡N,5083,9628
Amozoc,21015,Puebla,2015,0,0,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2016,0,0,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2017,1,0.7764336847989813,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2018,1,0.7764336847989813,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2019,1,0.7764336847989813,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2020,0,0,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2021,1,0.7764336847989813,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2022,0,0,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2023,0,0,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2024,0,0,Amozoc,21015 – Amozoc,128794,251801
Amozoc,21015,Puebla,2025,0,0,Amozoc,21015 – Amozoc,128794,251801
Aquixtla,21016,Puebla,2015,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2016,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2017,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2018,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2019,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2020,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2021,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2022,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2023,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2024,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Aquixtla,21016,Puebla,2025,0,0,Aquixtla,21016 – Aquixtla,9026,18042
Atempan,21017,Puebla,2015,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2016,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2017,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2018,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2019,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2020,1,3.233525189161224,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2021,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2022,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2023,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2024,0,0,Atempan,21017 – Atempan,30926,59484
Atempan,21017,Puebla,2025,0,0,Atempan,21017 – Atempan,30926,59484
Atexcal,21018,Puebla,2015,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2016,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2017,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2018,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2019,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2020,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2021,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2022,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2023,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2024,0,0,Atexcal,21018 – Atexcal,4036,7720
Atexcal,21018,Puebla,2025,0,0,Atexcal,21018 – Atexcal,4036,7720
Atlixco,21019,Puebla,2015,1,0.6672805647862701,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2016,0,0,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2017,2,1.3345611295725401,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2018,0,0,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2019,1,0.6672805647862701,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2020,2,1.3345611295725401,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2021,2,1.3345611295725401,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2022,1,0.6672805647862701,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2023,0,0,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2024,2,1.3345611295725401,Atlixco,21019 – Atlixco,149862,283690
Atlixco,21019,Puebla,2025,1,0.6672805647862701,Atlixco,21019 – Atlixco,149862,283690
Atoyatempan,21020,Puebla,2015,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2016,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2017,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2018,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2019,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2020,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2021,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2022,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2023,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2024,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atoyatempan,21020,Puebla,2025,0,0,Atoyatempan,21020 – Atoyatempan,7888,15446
Atzala,21021,Puebla,2015,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2016,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2017,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2018,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2019,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2020,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2021,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2022,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2023,0,0,Atzala,21021 – Atzala,1566,3024
Atzala,21021,Puebla,2024,0,0,Atzala,21021 – Atzala,1566,3024
